strategy,baseline_mode,AF_delta,EF_delta,AUDC_delta,mSUN_delta,Mean Comp. L1_delta,Unique Comps_delta,Unique SGs_delta
random_generator_baseline,dataset_matched,0.0,0.0,0.011131428571428556,0.009857142857142856,-0.08019706627503154,0.628571428571429,0.0
chemeleon_mlip_ranking_chain_filter,dataset_matched,-0.921842159211975,-1.7673497624645624,0.00034285714285714475,-0.0025714285714285023,0.018667107584894982,-0.4214285714285708,-0.07142857142857162
chemeleon_llm_planner,dataset_matched,-0.3577137068986427,-0.8585388080517395,-0.00627714285714287,-0.01014285714285712,0.2408523248040264,2.442857142857143,2.0214285714285714
llm_react_orchestrator,dataset_matched,-0.3148478040224916,-2.5640706806655205,-0.0474,-0.07264705882352945,0.11173974535465514,-1.4529411764705884,-1.3117647058823536
