strategy,af_episode_mean,af_episode_median,af_mean_curve_mean,af_bin_mean,af_episode_matched_mean,ef_episode_matched_mean,af_episode_system_mean,ef_episode_system_mean
random_generator_baseline,1.0,,,,,,,
chemeleon_mlip_ranking_chain_filter,5.478157840788025,4.5,7.504418392226275,6.553659552403524,9.99161206373176,14.482539722428045,10.458215950052061,5.42487121111062
chemeleon_llm_planner,3.5422862931013572,2.5714285714285716,4.8903877074430495,4.046500352663033,8.048308388826921,13.012206182712319,6.948418869286839,3.346171094736615
llm_react_orchestrator,5.085152195977509,3.708791208791209,8.139805363440923,6.456780635010648,9.522703131578554,14.163538890358344,10.38169407688617,5.5513363288302795
