strategy,baseline_mode,AF_delta,EF_delta,AUDC_delta,mSUN_delta,Mean Comp. L1_delta,Unique Comps_delta,Unique SGs_delta
random_generator_baseline,global,0.0,0.0,0.011131428571428556,0.009857142857142856,-0.08019706627503154,0.628571428571429,0.0
random_generator_diversity_planner_comp,global,-0.10671818857942783,-0.09657513348588864,0.007552000000000003,0.006400000000000017,0.007203062862883414,0.3705882352941181,0.0
chemeleon_generative_baseline,global,-0.27418380609017423,-0.18146453089244852,-0.005402666666666639,-0.0023999999999999855,-0.017958045618168716,-0.0906474820143881,-0.22920863309352546
chemeleon_diversity_planner_comp,global,-0.6043125383129184,-0.31050343249427903,0.0014693333333333503,-0.000466666666666643,-0.008091520459123536,-0.04305555555555607,0.10166666666666657
chemeleon_llm_planner,global,-1.508525821149493,-1.3437299771167046,-0.015437333333333358,-0.01759999999999995,0.24153871796030624,2.133333333333333,1.88
chemeleon_mlip_ranking_chain_filter,global,-2.415354971427604,-2.1027459954233403,0.011978666666666693,0.009199999999999986,0.01300253015185815,0.1999999999999993,-0.036666666666666625
llm_react_orchestrator,global,-1.7466270684528586,-3.331745086360929,-0.04218356164383563,-0.06794520547945204,0.11499001775291529,-1.3876712328767127,-1.2082191780821923
