episode_id,final/convex_hull_e_above_hull_max,final/convex_hull_e_above_hull_mean,final/convex_hull_e_above_hull_min,final/convex_hull_e_above_hull_std,final/convex_hull_energy_per_atom_max,final/convex_hull_energy_per_atom_mean,final/convex_hull_energy_per_atom_min,final/convex_hull_energy_per_atom_std,final/convex_hull_formation_energy_per_atom_max,final/convex_hull_formation_energy_per_atom_mean,final/convex_hull_formation_energy_per_atom_min,final/convex_hull_formation_energy_per_atom_std,final/convex_hull_stable_count,final/convex_hull_stable_fraction,final/discovery_curve_acceleration_factor,final/discovery_curve_area_under_discovery_curve,final/discovery_curve_area_under_discovery_curve_normalized,final/discovery_curve_enhancement_factor,final/discovery_efficiency,final/diversity_all_composition_l1_distance_max,final/diversity_all_composition_l1_distance_mean,final/diversity_all_composition_l1_distance_min,final/diversity_all_composition_l1_distance_std,final/diversity_all_composition_l2_distance_max,final/diversity_all_composition_l2_distance_mean,final/diversity_all_composition_l2_distance_min,final/diversity_all_composition_l2_distance_std,final/diversity_all_composition_unique_composition_count,final/diversity_all_composition_unique_composition_fraction,final/diversity_all_structure_amd_distance_max,final/diversity_all_structure_amd_distance_mean,final/diversity_all_structure_amd_distance_min,final/diversity_all_structure_lattice_parameter_variance,final/diversity_all_structure_spacegroup_entropy,final/diversity_all_structure_unique_spacegroups_count,final/diversity_all_structure_unique_spacegroups_fraction,final/diversity_all_structure_unique_structure_count,final/diversity_all_structure_unique_structure_fraction,final/diversity_stable_composition_l1_distance_max,final/diversity_stable_composition_l1_distance_mean,final/diversity_stable_composition_l1_distance_min,final/diversity_stable_composition_l1_distance_std,final/diversity_stable_composition_l2_distance_max,final/diversity_stable_composition_l2_distance_mean,final/diversity_stable_composition_l2_distance_min,final/diversity_stable_composition_l2_distance_std,final/diversity_stable_composition_unique_composition_count,final/diversity_stable_composition_unique_composition_fraction,final/diversity_stable_structure_amd_distance_max,final/diversity_stable_structure_amd_distance_mean,final/diversity_stable_structure_amd_distance_min,final/diversity_stable_structure_lattice_parameter_variance,final/diversity_stable_structure_spacegroup_entropy,final/diversity_stable_structure_unique_spacegroups_count,final/diversity_stable_structure_unique_spacegroups_fraction,final/diversity_stable_structure_unique_structure_count,final/diversity_stable_structure_unique_structure_fraction,final/novelty_novel_structure_count,final/novelty_novel_structure_fraction,final/novelty_stable_count,final/novelty_stable_fraction,final/novelty_stable_novel_count,final/novelty_stable_novel_fraction,final/novelty_stable_unique_count,final/novelty_stable_unique_fraction,final/novelty_stable_unique_novel_count,final/novelty_stable_unique_novel_fraction,final/novelty_unique_structure_count,final/novelty_unique_structure_fraction,final/num_correct_stable_formulas,final/num_correct_stable_structures,final/num_ground_truth_stable_formulas,final/num_ground_truth_stable_structures,final/num_gt_formulas_missing_initial,final/num_gt_structures_missing_initial,final/num_initial_structures,final/num_newly_discovered_stable,final/num_newly_discovered_structures,final/num_observed_stable_formulas,final/precision_formula,final/precision_structure,final/queries_used,final/recall_formula,final/recall_structure,final/reference_composition_precision,final/reference_composition_recall,final/reference_structure_precision,final/reference_structure_recall,final/stable_discovery_efficiency,final/validity_distance_and_smact_valid_count,final/validity_distance_and_smact_valid_fraction,final/validity_distance_valid_count,final/validity_distance_valid_fraction,final/validity_min_interatomic_distance_mean,final/validity_min_interatomic_distance_min,final/validity_min_interatomic_distance_std,final/validity_smact_valid_count,final/validity_smact_valid_fraction
0,0.6057948271433515,0.22975483869863858,0.02008387247721366,0.12822139467193747,-2.4071335792541504,-4.784545781323631,-6.839989110043175,1.0404205289296917,0.6057948271433515,0.16098831659590127,-0.1327607684665253,0.15725650858125748,10.0,0.2,0.0,313.0,0.2504,0.0,1.0,1.8947368421052633,0.8895505825303639,0.015686274509803894,0.43555868442468204,1.290220312845318,0.5742758630488815,0.00960584212856147,0.2823273737531363,50.0,1.0,2.712453465833721,0.8553069128182006,0.11071096641490907,2.762942999775554,0.7870209901449213,5.0,0.1,50.0,1.0,1.8947368421052633,1.02588693957115,0.10000000000000003,0.5928803784310627,1.290220312845318,0.6804750028041895,0.07071067811865477,0.3918762257797157,10.0,1.0,2.712453465833721,1.1214369290914636,0.24780104188244234,1.336019027169977,0.3250829733914482,2.0,0.2,10.0,1.0,50.0,1.0,10.0,0.2,10.0,0.2,10.0,0.2,10.0,0.2,50.0,1.0,0,0,9,23,0,0,23,10,50,19,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,1.0,50.0,1.0,2.4337200685828537,2.079917888219925,0.18789204161813616,50.0,1.0
1,0.42383896220814066,0.1872242860241864,0.0,0.13706292725210314,-2.4698562622070312,-4.35654060821908,-6.180339813232422,0.9543200238552485,0.423838962208141,0.11142617540531788,-0.19523445765177438,0.1666200977598904,21.0,0.42,0.0,453.0,0.3624,0.0,0.98,1.8461538461538463,0.8532956019079733,0.0,0.42066668775011645,1.3009188579931428,0.5497745835668959,0.0,0.2716681778153077,49.0,0.98,2.701366787893078,0.8566359849499398,0.13016743080570237,3.4494641529968164,1.0535808300903473,8.0,0.16,50.0,1.0,1.8461538461538463,0.7367395153374808,0.0,0.4656775929396109,1.3009188579931428,0.48218063289372803,0.0,0.3036005408695189,20.0,0.9523809523809523,2.4040229481243403,0.92708368921941,0.138400382261338,4.028003767915082,1.021094815861843,5.0,0.23809523809523808,21.0,1.0,49.0,0.98,21.0,0.42,20.0,0.4,21.0,0.42,20.0,0.4,50.0,1.0,0,0,9,23,0,0,23,20,49,26,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.4,50.0,1.0,50.0,1.0,2.5431106753452917,2.2274817863069702,0.17953467511716933,50.0,1.0
2,0.4106926918029785,0.20542700318912066,0.02011161380343962,0.11502073292001763,-2.3487743377685546,-4.67277958684131,-6.363859558105469,1.0722687591079052,0.41038156691051697,0.1319462946454649,-0.179533402125041,0.1408572575378623,14.0,0.28,0.0,315.5,0.2524,0.0,0.98,1.9,0.879762836694346,0.01388888888888884,0.4236811126388622,1.3395917933607633,0.5674229222962798,0.009820927516479791,0.272597938210308,50.0,1.0,2.5507601130894546,0.8858835858787806,0.099699030006696,3.0317463386196106,0.9055360985284887,5.0,0.1,50.0,1.0,1.9,0.9183516861535438,0.01388888888888884,0.5205398705644508,1.1806307165616559,0.6018972958465713,0.009820927516479791,0.32404605166139505,14.0,1.0,2.398226685105077,1.1749557518771436,0.18118449595088748,5.6821846540247485,1.1275347898191255,5.0,0.35714285714285715,14.0,1.0,49.0,0.98,14.0,0.28,13.0,0.26,14.0,0.28,13.0,0.26,50.0,1.0,0,0,9,23,0,0,23,13,49,20,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.26,50.0,1.0,50.0,1.0,2.452471432716608,1.9746245969894325,0.2508784328100157,50.0,1.0
3,0.49231592814127545,0.21691407195729248,0.019094953349992227,0.1268486118807083,-2.3559543609619142,-4.33944957498707,-6.704944904033955,1.0984538810668127,0.47365944385528563,0.14694706155852436,-0.12897895883630797,0.1406754701450724,15.0,0.3,0.0,366.5,0.2932,0.0,1.0,1.9,0.866938372783258,0.04444444444444445,0.4350062424597997,1.2793094438255446,0.5612195782324693,0.03142696805273545,0.2843772143591811,50.0,1.0,2.546084571799218,0.9406212178698169,0.09281351742449484,1.986905107278221,0.6940083875558503,4.0,0.08,50.0,1.0,1.9,1.0369113956464686,0.04444444444444445,0.5779423899976973,1.2793094438255446,0.6920575361026381,0.03142696805273545,0.3879429123963726,15.0,1.0,2.546084571799218,1.1721119192605554,0.22825599204256797,1.999953429712981,0.953271014705891,4.0,0.26666666666666666,15.0,1.0,50.0,1.0,15.0,0.3,15.0,0.3,15.0,0.3,15.0,0.3,50.0,1.0,0,0,9,23,0,0,23,15,50,24,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,50.0,1.0,50.0,1.0,2.51409366294898,2.1074358291042286,0.22708635678944736,50.0,1.0
4,0.47404825037175913,0.23100073653361045,0.0,0.13455538155895413,-2.5256019592285157,-4.3592183193473195,-6.6160743713378904,1.030266856469858,0.43439703721266526,0.16373239109834636,-0.15228638282189003,0.15788808668202894,11.0,0.22,0.0,271.5,0.2172,0.0,1.0,1.8823529411764708,0.7988212166861942,0.0357142857142857,0.40117015911826925,1.2561268531801542,0.5144493496760929,0.025253813613805257,0.25846959027861327,50.0,1.0,2.3688992908518527,0.8689293588940897,0.08039511255484566,1.7922527826980348,0.566740602640472,3.0,0.06,50.0,1.0,1.7647058823529411,1.0369854981619686,0.051282051282051266,0.550792030852139,1.1938713162326933,0.6840404075222419,0.036261886214694734,0.3555755292258062,11.0,1.0,2.3688992908518527,1.19086440459447,0.2974076839864912,2.0255942987743123,0.7595473914748635,3.0,0.2727272727272727,11.0,1.0,50.0,1.0,11.0,0.22,11.0,0.22,11.0,0.22,11.0,0.22,50.0,1.0,0,0,9,23,0,0,23,11,50,18,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.22,50.0,1.0,50.0,1.0,2.475282879507677,2.1932981728041123,0.1847336849213636,50.0,1.0
