episode_id,final/convex_hull_e_above_hull_max,final/convex_hull_e_above_hull_mean,final/convex_hull_e_above_hull_min,final/convex_hull_e_above_hull_std,final/convex_hull_energy_per_atom_max,final/convex_hull_energy_per_atom_mean,final/convex_hull_energy_per_atom_min,final/convex_hull_energy_per_atom_std,final/convex_hull_formation_energy_per_atom_max,final/convex_hull_formation_energy_per_atom_mean,final/convex_hull_formation_energy_per_atom_min,final/convex_hull_formation_energy_per_atom_std,final/convex_hull_stable_count,final/convex_hull_stable_fraction,final/discovery_curve_acceleration_factor,final/discovery_curve_area_under_discovery_curve,final/discovery_curve_area_under_discovery_curve_normalized,final/discovery_curve_enhancement_factor,final/discovery_efficiency,final/diversity_all_composition_l1_distance_max,final/diversity_all_composition_l1_distance_mean,final/diversity_all_composition_l1_distance_min,final/diversity_all_composition_l1_distance_std,final/diversity_all_composition_l2_distance_max,final/diversity_all_composition_l2_distance_mean,final/diversity_all_composition_l2_distance_min,final/diversity_all_composition_l2_distance_std,final/diversity_all_composition_unique_composition_count,final/diversity_all_composition_unique_composition_fraction,final/diversity_all_structure_amd_distance_max,final/diversity_all_structure_amd_distance_mean,final/diversity_all_structure_amd_distance_min,final/diversity_all_structure_lattice_parameter_variance,final/diversity_all_structure_spacegroup_entropy,final/diversity_all_structure_unique_spacegroups_count,final/diversity_all_structure_unique_spacegroups_fraction,final/diversity_all_structure_unique_structure_count,final/diversity_all_structure_unique_structure_fraction,final/diversity_stable_composition_l1_distance_max,final/diversity_stable_composition_l1_distance_mean,final/diversity_stable_composition_l1_distance_min,final/diversity_stable_composition_l1_distance_std,final/diversity_stable_composition_l2_distance_max,final/diversity_stable_composition_l2_distance_mean,final/diversity_stable_composition_l2_distance_min,final/diversity_stable_composition_l2_distance_std,final/diversity_stable_composition_unique_composition_count,final/diversity_stable_composition_unique_composition_fraction,final/diversity_stable_structure_amd_distance_max,final/diversity_stable_structure_amd_distance_mean,final/diversity_stable_structure_amd_distance_min,final/diversity_stable_structure_lattice_parameter_variance,final/diversity_stable_structure_spacegroup_entropy,final/diversity_stable_structure_unique_spacegroups_count,final/diversity_stable_structure_unique_spacegroups_fraction,final/diversity_stable_structure_unique_structure_count,final/diversity_stable_structure_unique_structure_fraction,final/novelty_novel_structure_count,final/novelty_novel_structure_fraction,final/novelty_stable_count,final/novelty_stable_fraction,final/novelty_stable_novel_count,final/novelty_stable_novel_fraction,final/novelty_stable_unique_count,final/novelty_stable_unique_fraction,final/novelty_stable_unique_novel_count,final/novelty_stable_unique_novel_fraction,final/novelty_unique_structure_count,final/novelty_unique_structure_fraction,final/num_correct_stable_formulas,final/num_correct_stable_structures,final/num_ground_truth_stable_formulas,final/num_ground_truth_stable_structures,final/num_gt_formulas_missing_initial,final/num_gt_structures_missing_initial,final/num_initial_structures,final/num_newly_discovered_stable,final/num_newly_discovered_structures,final/num_observed_stable_formulas,final/precision_formula,final/precision_structure,final/queries_used,final/recall_formula,final/recall_structure,final/reference_composition_precision,final/reference_composition_recall,final/reference_structure_precision,final/reference_structure_recall,final/stable_discovery_efficiency,final/validity_distance_and_smact_valid_count,final/validity_distance_and_smact_valid_fraction,final/validity_distance_valid_count,final/validity_distance_valid_fraction,final/validity_min_interatomic_distance_mean,final/validity_min_interatomic_distance_min,final/validity_min_interatomic_distance_std,final/validity_smact_valid_count,final/validity_smact_valid_fraction
0,3.1638798713684073,0.2814220584498731,0.003096342086791992,0.5747250722899724,-1.048982302347819,-4.97991715304762,-6.506787109375,0.973963043903587,2.941402329338922,-0.30212335357463166,-1.097764354281955,0.7044551852494263,12.0,0.24,0.0,300.0,0.24,0.0,1.0,2.0,1.044395870825327,0.36363636363636365,0.3471557604724276,1.1490485194281397,0.570698520487645,0.2453266907313291,0.1931232311847428,50.0,1.0,19.975486783491757,4.185852401041164,0.15676806193980686,10.562245261944804,-0.0,1.0,0.02,50.0,1.0,2.0,1.170001769737908,0.375,0.38273341942393135,1.1490485194281397,0.6491181366246564,0.25090115362207666,0.216366139110881,12.0,1.0,8.042129822420055,2.760825063645912,0.22054412699422077,7.656295074466693,-0.0,1.0,0.08333333333333333,12.0,1.0,50.0,1.0,12.0,0.24,12.0,0.24,12.0,0.24,12.0,0.24,50.0,1.0,0,0,44,66,0,0,66,12,50,56,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.24,44.0,0.88,44.0,0.88,1.4615007052922673,0.2705337460322472,1.0588736225217872,50.0,1.0
1,1.5391382035754981,0.21242646177701843,0.02244452635447125,0.25350695879470814,-3.5872036616007485,-5.04891857575625,-6.463691711425781,0.6298170266980404,0.6842649777730303,-0.37113102015794963,-1.054684999254015,0.360479670342511,11.0,0.22,0.0,298.5,0.2388,0.0,1.0,2.0,1.044395870825327,0.36363636363636365,0.3471557604724276,1.1490485194281397,0.570698520487645,0.2453266907313291,0.1931232311847428,50.0,1.0,13.387060689097023,3.4871701145134164,0.15016211914304556,12.231500516926104,-0.0,1.0,0.02,50.0,1.0,2.0,1.0896999405822936,0.4444444444444444,0.3562455744671787,1.1335784048754634,0.6025984510886391,0.26524998546017026,0.2092000181136258,11.0,1.0,7.707400523907117,3.094536451017671,0.22282645549772417,9.691145092020415,-0.0,1.0,0.09090909090909091,11.0,1.0,50.0,1.0,11.0,0.22,11.0,0.22,11.0,0.22,11.0,0.22,50.0,1.0,0,0,44,66,0,0,66,11,50,55,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.22,41.0,0.82,41.0,0.82,1.2592948816858847,0.15242070815285694,0.8883290526186548,50.0,1.0
2,3.3180996122814355,0.33149219780906436,0.004777252674102783,0.6404763274298483,-1.993422508239746,-4.929853290241936,-6.326576232910156,0.8464153951692108,3.0405306816101074,-0.25205764702344075,-0.9175387912326386,0.7016116065210444,17.0,0.34,0.0,405.5,0.3244,0.0,1.0,2.0,1.044395870825327,0.36363636363636365,0.3471557604724276,1.1490485194281397,0.570698520487645,0.2453266907313291,0.1931232311847428,50.0,1.0,17.230102961989203,4.061721793695973,0.11067863686139656,11.878883165390198,-0.0,1.0,0.02,50.0,1.0,2.0,1.077884109948511,0.375,0.37571675172894925,1.1490485194281397,0.609252821861608,0.25090115362207666,0.21941519217360447,17.0,1.0,8.479564183804971,2.507211694490309,0.38387688915963447,9.364623115937043,-0.0,1.0,0.058823529411764705,17.0,1.0,50.0,1.0,17.0,0.34,17.0,0.34,17.0,0.34,17.0,0.34,50.0,1.0,0,0,44,66,0,0,66,17,50,61,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.34,43.0,0.86,43.0,0.86,1.2799868597659492,0.34363954152890597,1.0118671492892917,50.0,1.0
3,2.285734335581462,0.26752827494741677,0.002911090850830078,0.45897320988146884,-1.9271500905354817,-4.993817177755538,-6.467439778645834,0.8274059971893865,2.0632294548882375,-0.3160234985079877,-1.0584041595458984,0.5490334271850333,13.0,0.26,0.0,312.5,0.25,0.0,1.0,2.0,1.044395870825327,0.36363636363636365,0.3471557604724276,1.1490485194281397,0.570698520487645,0.2453266907313291,0.1931232311847428,50.0,1.0,16.953760572348667,4.0083634564435435,0.18035365675337012,12.399661977138507,-0.0,1.0,0.02,50.0,1.0,1.9,1.1369999742171684,0.375,0.3580087678029932,1.1113055385446435,0.6492160930653789,0.26352313834736496,0.21833751581580377,13.0,1.0,7.99409779036786,3.327833064012232,0.24635371124913608,12.062629529313385,-0.0,1.0,0.07692307692307693,13.0,1.0,50.0,1.0,13.0,0.26,13.0,0.26,13.0,0.26,13.0,0.26,50.0,1.0,0,0,44,66,0,0,66,13,50,57,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.26,48.0,0.96,48.0,0.96,1.3402211233204386,0.14013070103858594,0.817987389674652,50.0,1.0
4,2.667664051055908,0.2383477644262146,0.02387058734893799,0.41489653628518697,-1.5757761001586914,-5.0230027182670085,-6.419399007161458,0.8217520247477581,2.6113540331522627,-0.34521209666426084,-1.0103739314609101,0.5562020011049132,14.0,0.28,0.0,315.0,0.252,0.0,1.0,2.0,1.044395870825327,0.36363636363636365,0.3471557604724276,1.1490485194281397,0.570698520487645,0.2453266907313291,0.1931232311847428,50.0,1.0,17.51208961128138,3.962684952660573,0.14277030636754118,9.674483875715461,-0.0,1.0,0.02,50.0,1.0,1.9999999999999998,1.1065168491639081,0.375,0.370677828862932,1.0921595579401393,0.6139842477763652,0.26057865332352387,0.21258052053478674,14.0,1.0,9.351154112907093,3.1278711804578765,0.2783371158579979,9.63652326348849,-0.0,1.0,0.07142857142857142,14.0,1.0,50.0,1.0,14.0,0.28,14.0,0.28,14.0,0.28,14.0,0.28,50.0,1.0,0,0,44,66,0,0,66,14,50,58,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.28,43.0,0.86,43.0,0.86,1.3192888494864308,0.1414654396368049,0.9892226600341165,50.0,1.0
