episode_id,final/convex_hull_e_above_hull_max,final/convex_hull_e_above_hull_mean,final/convex_hull_e_above_hull_min,final/convex_hull_e_above_hull_std,final/convex_hull_energy_per_atom_max,final/convex_hull_energy_per_atom_mean,final/convex_hull_energy_per_atom_min,final/convex_hull_energy_per_atom_std,final/convex_hull_formation_energy_per_atom_max,final/convex_hull_formation_energy_per_atom_mean,final/convex_hull_formation_energy_per_atom_min,final/convex_hull_formation_energy_per_atom_std,final/convex_hull_stable_count,final/convex_hull_stable_fraction,final/discovery_curve_acceleration_factor,final/discovery_curve_area_under_discovery_curve,final/discovery_curve_area_under_discovery_curve_normalized,final/discovery_curve_enhancement_factor,final/discovery_efficiency,final/diversity_all_composition_l1_distance_max,final/diversity_all_composition_l1_distance_mean,final/diversity_all_composition_l1_distance_min,final/diversity_all_composition_l1_distance_std,final/diversity_all_composition_l2_distance_max,final/diversity_all_composition_l2_distance_mean,final/diversity_all_composition_l2_distance_min,final/diversity_all_composition_l2_distance_std,final/diversity_all_composition_unique_composition_count,final/diversity_all_composition_unique_composition_fraction,final/diversity_all_structure_amd_distance_max,final/diversity_all_structure_amd_distance_mean,final/diversity_all_structure_amd_distance_min,final/diversity_all_structure_lattice_parameter_variance,final/diversity_all_structure_spacegroup_entropy,final/diversity_all_structure_unique_spacegroups_count,final/diversity_all_structure_unique_spacegroups_fraction,final/diversity_all_structure_unique_structure_count,final/diversity_all_structure_unique_structure_fraction,final/diversity_stable_composition_l1_distance_max,final/diversity_stable_composition_l1_distance_mean,final/diversity_stable_composition_l1_distance_min,final/diversity_stable_composition_l1_distance_std,final/diversity_stable_composition_l2_distance_max,final/diversity_stable_composition_l2_distance_mean,final/diversity_stable_composition_l2_distance_min,final/diversity_stable_composition_l2_distance_std,final/diversity_stable_composition_unique_composition_count,final/diversity_stable_composition_unique_composition_fraction,final/diversity_stable_structure_amd_distance_max,final/diversity_stable_structure_amd_distance_mean,final/diversity_stable_structure_amd_distance_min,final/diversity_stable_structure_lattice_parameter_variance,final/diversity_stable_structure_spacegroup_entropy,final/diversity_stable_structure_unique_spacegroups_count,final/diversity_stable_structure_unique_spacegroups_fraction,final/diversity_stable_structure_unique_structure_count,final/diversity_stable_structure_unique_structure_fraction,final/novelty_novel_structure_count,final/novelty_novel_structure_fraction,final/novelty_stable_count,final/novelty_stable_fraction,final/novelty_stable_novel_count,final/novelty_stable_novel_fraction,final/novelty_stable_unique_count,final/novelty_stable_unique_fraction,final/novelty_stable_unique_novel_count,final/novelty_stable_unique_novel_fraction,final/novelty_unique_structure_count,final/novelty_unique_structure_fraction,final/num_correct_stable_formulas,final/num_correct_stable_structures,final/num_ground_truth_stable_formulas,final/num_ground_truth_stable_structures,final/num_gt_formulas_missing_initial,final/num_gt_structures_missing_initial,final/num_initial_structures,final/num_newly_discovered_stable,final/num_newly_discovered_structures,final/num_observed_stable_formulas,final/precision_formula,final/precision_structure,final/queries_used,final/recall_formula,final/recall_structure,final/reference_composition_precision,final/reference_composition_recall,final/reference_structure_precision,final/reference_structure_recall,final/stable_discovery_efficiency,final/validity_distance_and_smact_valid_count,final/validity_distance_and_smact_valid_fraction,final/validity_distance_valid_count,final/validity_distance_valid_fraction,final/validity_min_interatomic_distance_mean,final/validity_min_interatomic_distance_min,final/validity_min_interatomic_distance_std,final/validity_smact_valid_count,final/validity_smact_valid_fraction
0,0.23421617654653737,0.09426892145308009,0.0034418106079101562,0.0506265902436888,-7.80330380526456,-8.730311344911385,-9.484583804481908,0.5091358262719984,0.07845592498779297,-0.043902958568487326,-0.27226278998635034,0.0964663435766282,24.0,0.48,0.0,596.0,0.4768,0.0,1.0,1.7894736842105265,0.7189456744542989,0.0,0.3931746035034675,1.224242154132281,0.4644835474724094,0.0,0.25526744910564186,48.0,0.96,1.2895922947216167,0.5568186485402501,0.03114930199959076,1.3110891609429662,0.7839820106948595,5.0,0.1,50.0,1.0,1.7894736842105265,0.562817136672972,0.0,0.4074752802106861,1.224242154132281,0.37096855248045835,0.0,0.26579473165860124,22.0,0.9166666666666666,1.0594659148097696,0.5277288986487749,0.03114930199959076,1.7124491868569793,1.1389488643790917,5.0,0.20833333333333334,24.0,1.0,50.0,1.0,24.0,0.48,24.0,0.48,24.0,0.48,24.0,0.48,50.0,1.0,0,0,20,29,0,0,29,24,50,40,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.48,50.0,1.0,50.0,1.0,2.72421994667219,2.3093150157841666,0.3134284646271342,50.0,1.0
1,0.20076624552408795,0.1011156837631257,0.0034728050231933594,0.04726440619265202,-7.511644865337171,-8.616074725100653,-9.499920654296876,0.5367313396035938,0.06300172805786133,-0.06525337461117277,-0.3452019691467285,0.10920844160097207,23.0,0.46,0.0,603.5,0.4828,0.0,1.0,1.8,0.7474649794369261,0.0,0.39146159620435317,1.255487952948972,0.4824189735368413,0.0,0.2554255227704582,48.0,0.96,1.5415020057465405,0.5920435478264389,0.031208105812496,2.361015327342209,0.8091133658482624,5.0,0.1,50.0,1.0,1.8,0.5798215312752936,0.0,0.39619090577746113,1.255487952948972,0.37764744131724215,0.0,0.26433827305083674,21.0,0.9130434782608695,0.9422653179696638,0.5471921945753478,0.031208105812496,3.0550578915955833,0.9849825930153653,4.0,0.17391304347826086,23.0,1.0,50.0,1.0,23.0,0.46,23.0,0.46,23.0,0.46,23.0,0.46,50.0,1.0,0,0,20,29,0,0,29,23,50,39,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.46,50.0,1.0,50.0,1.0,2.593868073843776,1.9087272216321125,0.31904327626673334,50.0,1.0
2,0.22994682523939325,0.08762438103504111,0.005643367767333984,0.05241977037248669,-7.506886532432155,-8.643338420746453,-9.625601026746962,0.5366643076210246,0.22994682523939344,-0.032205871325268025,-0.32659244537353516,0.10980251248452326,26.0,0.52,0.0,704.0,0.5632,0.0,1.0,1.8888888888888888,0.6277868010691666,0.0,0.36215593826808845,1.2566182818075025,0.40630196460945056,0.0,0.23377034549430453,43.0,0.86,1.3994506748407023,0.5938719547583486,0.020999468548683176,2.680074188467337,1.0323161423843479,7.0,0.14,50.0,1.0,1.1666666666666667,0.4028173171857382,0.0,0.2815354507510802,0.7730307436397629,0.26680949705413826,0.0,0.18136005465220942,19.0,0.7307692307692307,0.9244002713251813,0.5023716141813606,0.020999468548683176,1.8951867431745153,1.2594896363019443,6.0,0.23076923076923078,26.0,1.0,50.0,1.0,26.0,0.52,26.0,0.52,26.0,0.52,26.0,0.52,50.0,1.0,0,0,20,29,0,0,29,26,50,37,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.52,50.0,1.0,50.0,1.0,2.7542622746005083,1.9473775378379585,0.3535801273972184,50.0,1.0
3,0.2868567466735845,0.09247837706985486,0.0077883856637139814,0.05347631091076934,-7.044698442731585,-8.605338837398566,-9.367999606662327,0.4911220349489931,0.10577138264973958,-0.05578443539692993,-0.3162074455848107,0.10054250668270322,29.0,0.58,0.0,771.5,0.6172,0.0,1.0,1.735042735042735,0.6377904056306786,0.0,0.3383639230854403,1.2034145541883023,0.4112932814066198,0.0,0.21756030378114258,47.0,0.94,1.5268177013186959,0.5989192220451791,0.02842121718707169,1.5892603199898803,0.8167174389285026,5.0,0.1,50.0,1.0,1.3,0.4805664440419431,0.0,0.28429403831124406,0.9008050311482568,0.3129787140924017,0.0,0.1838927850280213,26.0,0.896551724137931,1.0183629457642507,0.56426093732045,0.02842121718707169,1.5789163064719902,0.9759810232840528,5.0,0.1724137931034483,29.0,1.0,50.0,1.0,29.0,0.58,29.0,0.58,29.0,0.58,29.0,0.58,50.0,1.0,0,0,20,29,0,0,29,29,50,44,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.58,50.0,1.0,50.0,1.0,2.703506572616601,2.117630536625432,0.329317865436667,50.0,1.0
4,0.1807441234588616,0.0928872409444991,0.003054380416870117,0.04529474451005076,-7.5072583650287825,-8.62132354508403,-9.483367919921875,0.5051275117040385,0.09056505404020611,-0.06674710523452816,-0.3453068733215332,0.11587503369276844,26.0,0.52,0.0,715.0,0.572,0.0,1.0,1.7142857142857144,0.736144918180743,0.0,0.3908674872126639,1.2121830534626528,0.4746274523176694,0.0,0.2516620700961833,49.0,0.98,1.4981469535046976,0.6150886684408023,0.048441616857245684,2.1836635236053143,0.6241568872008492,4.0,0.08,50.0,1.0,1.314285714285714,0.4691139212722923,0.0,0.279733712320919,0.9192388155425117,0.30530773769501257,0.0,0.18148502450809592,25.0,0.9615384615384616,1.061942224312518,0.5783245359651827,0.048441616857245684,3.0171298679569727,0.8397960607229505,4.0,0.15384615384615385,26.0,1.0,50.0,1.0,26.0,0.52,26.0,0.52,26.0,0.52,26.0,0.52,50.0,1.0,0,0,20,29,0,0,29,26,50,43,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.52,50.0,1.0,50.0,1.0,2.6608551349194074,1.989896215249801,0.31421921318392165,50.0,1.0
