episode_id,final/convex_hull_e_above_hull_max,final/convex_hull_e_above_hull_mean,final/convex_hull_e_above_hull_min,final/convex_hull_e_above_hull_std,final/convex_hull_energy_per_atom_max,final/convex_hull_energy_per_atom_mean,final/convex_hull_energy_per_atom_min,final/convex_hull_energy_per_atom_std,final/convex_hull_formation_energy_per_atom_max,final/convex_hull_formation_energy_per_atom_mean,final/convex_hull_formation_energy_per_atom_min,final/convex_hull_formation_energy_per_atom_std,final/convex_hull_stable_count,final/convex_hull_stable_fraction,final/discovery_curve_acceleration_factor,final/discovery_curve_area_under_discovery_curve,final/discovery_curve_area_under_discovery_curve_normalized,final/discovery_curve_enhancement_factor,final/discovery_efficiency,final/diversity_all_composition_l1_distance_max,final/diversity_all_composition_l1_distance_mean,final/diversity_all_composition_l1_distance_min,final/diversity_all_composition_l1_distance_std,final/diversity_all_composition_l2_distance_max,final/diversity_all_composition_l2_distance_mean,final/diversity_all_composition_l2_distance_min,final/diversity_all_composition_l2_distance_std,final/diversity_all_composition_unique_composition_count,final/diversity_all_composition_unique_composition_fraction,final/diversity_all_structure_amd_distance_max,final/diversity_all_structure_amd_distance_mean,final/diversity_all_structure_amd_distance_min,final/diversity_all_structure_lattice_parameter_variance,final/diversity_all_structure_spacegroup_entropy,final/diversity_all_structure_unique_spacegroups_count,final/diversity_all_structure_unique_spacegroups_fraction,final/diversity_all_structure_unique_structure_count,final/diversity_all_structure_unique_structure_fraction,final/diversity_stable_composition_l1_distance_max,final/diversity_stable_composition_l1_distance_mean,final/diversity_stable_composition_l1_distance_min,final/diversity_stable_composition_l1_distance_std,final/diversity_stable_composition_l2_distance_max,final/diversity_stable_composition_l2_distance_mean,final/diversity_stable_composition_l2_distance_min,final/diversity_stable_composition_l2_distance_std,final/diversity_stable_composition_unique_composition_count,final/diversity_stable_composition_unique_composition_fraction,final/diversity_stable_structure_amd_distance_max,final/diversity_stable_structure_amd_distance_mean,final/diversity_stable_structure_amd_distance_min,final/diversity_stable_structure_lattice_parameter_variance,final/diversity_stable_structure_spacegroup_entropy,final/diversity_stable_structure_unique_spacegroups_count,final/diversity_stable_structure_unique_spacegroups_fraction,final/diversity_stable_structure_unique_structure_count,final/diversity_stable_structure_unique_structure_fraction,final/novelty_novel_structure_count,final/novelty_novel_structure_fraction,final/novelty_stable_count,final/novelty_stable_fraction,final/novelty_stable_novel_count,final/novelty_stable_novel_fraction,final/novelty_stable_unique_count,final/novelty_stable_unique_fraction,final/novelty_stable_unique_novel_count,final/novelty_stable_unique_novel_fraction,final/novelty_unique_structure_count,final/novelty_unique_structure_fraction,final/num_correct_stable_formulas,final/num_correct_stable_structures,final/num_ground_truth_stable_formulas,final/num_ground_truth_stable_structures,final/num_gt_formulas_missing_initial,final/num_gt_structures_missing_initial,final/num_initial_structures,final/num_newly_discovered_stable,final/num_newly_discovered_structures,final/num_observed_stable_formulas,final/precision_formula,final/precision_structure,final/queries_used,final/recall_formula,final/recall_structure,final/reference_composition_precision,final/reference_composition_recall,final/reference_structure_precision,final/reference_structure_recall,final/stable_discovery_efficiency,final/validity_distance_and_smact_valid_count,final/validity_distance_and_smact_valid_fraction,final/validity_distance_valid_count,final/validity_distance_valid_fraction,final/validity_min_interatomic_distance_mean,final/validity_min_interatomic_distance_min,final/validity_min_interatomic_distance_std,final/validity_smact_valid_count,final/validity_smact_valid_fraction
0,0.2602833363047834,0.1185909464206786,0.04654688584177169,0.048010898927207196,-3.6422225104437933,-5.26708428041169,-6.5221362643771705,0.6653888838962122,0.1403163608751799,-0.5125527488790077,-0.9660098850727081,0.2563903333630159,21.0,0.42,0.0,464.5,0.3716,0.0,1.0,2.0,1.0388210109779579,0.1153846153846154,0.3701477196073763,1.1857942626109292,0.5734405893999602,0.07071067811865477,0.21433152056459318,50.0,1.0,2.0175695893580032,0.8285316659806141,0.121763218697998,3.3368358379317695,0.7063330263511025,4.0,0.08,50.0,1.0,1.7666666666666668,1.0644782261655326,0.13157894736842096,0.36641767123463975,1.0110500592068734,0.5854998009534705,0.07544879572016552,0.20543554370652106,21.0,1.0,2.003208739336314,0.8700594986169615,0.14578848292933255,1.642004767241458,0.31449220128141064,2.0,0.09523809523809523,21.0,1.0,50.0,1.0,21.0,0.42,21.0,0.42,21.0,0.42,21.0,0.42,50.0,1.0,0,0,44,66,0,0,66,21,50,65,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.42,50.0,1.0,50.0,1.0,2.698082397658792,2.027508019158603,0.17394942959948695,50.0,1.0
1,0.2043123699369902,0.1078499183258879,0.016163808328134355,0.04566992659152881,-3.5397203233506946,-5.185870585145754,-6.506310713918586,0.6751854526502972,0.09288555968041541,-0.4859750265014864,-0.9534393946329747,0.27797711201632946,24.0,0.48,0.0,655.0,0.524,0.0,1.0,2.0,1.0388270594916202,0.08653846153846151,0.3768926106934103,1.1962294840807202,0.5692636255891402,0.058091567180743126,0.2134031557230029,50.0,1.0,2.1423960923165204,0.7665215478725383,0.11589783651110785,2.51049115500864,0.6225752839491666,3.0,0.06,50.0,1.0,2.0,1.0727763391143388,0.16190476190476183,0.391942161582461,1.13261504070707,0.5902858679815558,0.10367400503370112,0.21242837162457115,24.0,1.0,2.1423960923165204,0.8609851161151899,0.13278967804935338,1.418701607973323,0.1732052067491771,2.0,0.08333333333333333,24.0,1.0,50.0,1.0,24.0,0.48,24.0,0.48,24.0,0.48,24.0,0.48,50.0,1.0,0,0,44,66,0,0,66,24,50,68,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.48,50.0,1.0,50.0,1.0,2.676916908918602,2.0453039486896833,0.17693804544821498,50.0,1.0
2,0.28505429767426804,0.11526209913892059,0.0,0.06227485257114118,-3.2368219549005683,-5.150590603725562,-6.615748318758878,0.7877535615979805,0.05338292244153127,-0.488950370855982,-1.0804120567109858,0.2957495546655406,21.0,0.42,0.0,583.5,0.4668,0.0,1.0,2.0,1.0478131528686276,0.12631578947368421,0.36031292491974976,1.1086507826082508,0.573254037669123,0.06982367979695579,0.20032228156906695,50.0,1.0,2.186301227953896,0.76029440147766,0.12341193025717256,2.900781308253746,0.583748281389198,5.0,0.1,50.0,1.0,2.0,1.2026508923202865,0.3365384615384615,0.40209717186206717,1.1086507826082508,0.6771299074454183,0.1742747015422294,0.22582046544916473,21.0,1.0,2.186301227953896,0.8768417721805933,0.1593599627321236,3.8593664310838673,0.5940241655824705,3.0,0.14285714285714285,21.0,1.0,50.0,1.0,21.0,0.42,21.0,0.42,21.0,0.42,21.0,0.42,50.0,1.0,0,0,44,66,0,0,66,21,50,65,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.42,50.0,1.0,50.0,1.0,2.679441810347795,2.3160826536834858,0.14762799576820748,50.0,1.0
3,0.3726018648298952,0.12271823575543137,9.693418230316553e-05,0.05820582197132565,-3.410989058645148,-5.162804424239065,-6.484393471165707,0.6395555879486623,0.01611439387003581,-0.4845276606947751,-0.8871017840870642,0.23039390264269322,14.0,0.28,0.0,376.0,0.3008,0.0,1.0,2.0,0.9766027612229671,0.16666666666666666,0.3471766265642837,1.065130472748108,0.5329089659415315,0.093952969584932,0.18689633989121707,50.0,1.0,2.0770299477597325,0.7718191875313812,0.07636181585875157,4.307994261989594,0.8899943655176383,5.0,0.1,50.0,1.0,2.0,1.133828452249505,0.18181818181818185,0.4556811390222363,1.065130472748108,0.6003618632278188,0.11134044285378084,0.2248490635094761,14.0,1.0,1.8824165413902776,0.8939279344598071,0.07636181585875157,6.287659982199006,1.252762968495368,5.0,0.35714285714285715,14.0,1.0,50.0,1.0,14.0,0.28,14.0,0.28,14.0,0.28,14.0,0.28,50.0,1.0,0,0,44,66,0,0,66,14,50,57,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.28,49.0,0.98,49.0,0.98,2.6175731289336053,0.00903721188921607,0.3975512413688168,50.0,1.0
4,0.25172062714894317,0.12271016892832456,0.04390591666811794,0.041539875759154715,-4.103271484375,-5.277466977927796,-6.310351371765137,0.5616701252729093,-0.07385826110839844,-0.5316675425212698,-1.0219260362478404,0.2615276808471753,14.0,0.28,0.0,284.0,0.2272,0.0,1.0,2.0,0.9880763402474403,0.1634615384615385,0.3610017601993847,1.2469963913339928,0.5372126816645746,0.07899844579401435,0.2048513423510764,50.0,1.0,2.1756491673639804,0.770823832293415,0.08891146736530509,3.608837087682074,0.7181824186072325,5.0,0.1,50.0,1.0,1.7697368421052633,0.9796520217139072,0.2222222222222222,0.354682853089953,0.9270248108869579,0.5262279277135787,0.13608276348795434,0.18953722621323932,14.0,1.0,1.43237129444202,0.6450168527496306,0.14564285072687788,1.6407186434917904,0.25731864054383163,2.0,0.14285714285714285,14.0,1.0,50.0,1.0,14.0,0.28,14.0,0.28,14.0,0.28,14.0,0.28,50.0,1.0,0,0,44,66,0,0,66,14,50,58,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.28,50.0,1.0,50.0,1.0,2.6649340253682823,2.0644828416782253,0.1507590111856644,50.0,1.0
