episode_id,final/convex_hull_e_above_hull_max,final/convex_hull_e_above_hull_mean,final/convex_hull_e_above_hull_min,final/convex_hull_e_above_hull_std,final/convex_hull_energy_per_atom_max,final/convex_hull_energy_per_atom_mean,final/convex_hull_energy_per_atom_min,final/convex_hull_energy_per_atom_std,final/convex_hull_formation_energy_per_atom_max,final/convex_hull_formation_energy_per_atom_mean,final/convex_hull_formation_energy_per_atom_min,final/convex_hull_formation_energy_per_atom_std,final/convex_hull_stable_count,final/convex_hull_stable_fraction,final/discovery_curve_acceleration_factor,final/discovery_curve_area_under_discovery_curve,final/discovery_curve_area_under_discovery_curve_normalized,final/discovery_curve_enhancement_factor,final/discovery_efficiency,final/diversity_all_composition_l1_distance_max,final/diversity_all_composition_l1_distance_mean,final/diversity_all_composition_l1_distance_min,final/diversity_all_composition_l1_distance_std,final/diversity_all_composition_l2_distance_max,final/diversity_all_composition_l2_distance_mean,final/diversity_all_composition_l2_distance_min,final/diversity_all_composition_l2_distance_std,final/diversity_all_composition_unique_composition_count,final/diversity_all_composition_unique_composition_fraction,final/diversity_all_structure_amd_distance_max,final/diversity_all_structure_amd_distance_mean,final/diversity_all_structure_amd_distance_min,final/diversity_all_structure_lattice_parameter_variance,final/diversity_all_structure_spacegroup_entropy,final/diversity_all_structure_unique_spacegroups_count,final/diversity_all_structure_unique_spacegroups_fraction,final/diversity_all_structure_unique_structure_count,final/diversity_all_structure_unique_structure_fraction,final/diversity_stable_composition_l1_distance_max,final/diversity_stable_composition_l1_distance_mean,final/diversity_stable_composition_l1_distance_min,final/diversity_stable_composition_l1_distance_std,final/diversity_stable_composition_l2_distance_max,final/diversity_stable_composition_l2_distance_mean,final/diversity_stable_composition_l2_distance_min,final/diversity_stable_composition_l2_distance_std,final/diversity_stable_composition_unique_composition_count,final/diversity_stable_composition_unique_composition_fraction,final/diversity_stable_structure_amd_distance_max,final/diversity_stable_structure_amd_distance_mean,final/diversity_stable_structure_amd_distance_min,final/diversity_stable_structure_lattice_parameter_variance,final/diversity_stable_structure_spacegroup_entropy,final/diversity_stable_structure_unique_spacegroups_count,final/diversity_stable_structure_unique_spacegroups_fraction,final/diversity_stable_structure_unique_structure_count,final/diversity_stable_structure_unique_structure_fraction,final/novelty_novel_structure_count,final/novelty_novel_structure_fraction,final/novelty_stable_count,final/novelty_stable_fraction,final/novelty_stable_novel_count,final/novelty_stable_novel_fraction,final/novelty_stable_unique_count,final/novelty_stable_unique_fraction,final/novelty_stable_unique_novel_count,final/novelty_stable_unique_novel_fraction,final/novelty_unique_structure_count,final/novelty_unique_structure_fraction,final/num_correct_stable_formulas,final/num_correct_stable_structures,final/num_ground_truth_stable_formulas,final/num_ground_truth_stable_structures,final/num_gt_formulas_missing_initial,final/num_gt_structures_missing_initial,final/num_initial_structures,final/num_newly_discovered_stable,final/num_newly_discovered_structures,final/num_observed_stable_formulas,final/precision_formula,final/precision_structure,final/queries_used,final/recall_formula,final/recall_structure,final/reference_composition_precision,final/reference_composition_recall,final/reference_structure_precision,final/reference_structure_recall,final/stable_discovery_efficiency,final/validity_distance_and_smact_valid_count,final/validity_distance_and_smact_valid_fraction,final/validity_distance_valid_count,final/validity_distance_valid_fraction,final/validity_min_interatomic_distance_mean,final/validity_min_interatomic_distance_min,final/validity_min_interatomic_distance_std,final/validity_smact_valid_count,final/validity_smact_valid_fraction
0,2.1320212227957622,0.3474203130448192,0.0030515193939208984,0.3496550556312007,-4.714485168457031,-6.930528814652783,-8.303965432303292,0.7894133838555956,1.7208988666534424,-0.05533569885660195,-0.7886549949645996,0.438146489347472,3.0,0.06,0.0,115.5,0.0924,0.0,1.0,2.0,1.0687374266880805,0.39999999999999997,0.3558042694946004,1.0816653826391966,0.5806399339665358,0.25125535158615087,0.18475581511766045,50.0,1.0,12.814512438514363,3.3756975467624,0.15162972634057414,10.35407630461463,-0.0,1.0,0.02,50.0,1.0,2.0,1.4000000000000001,0.7,0.5354126134736337,0.9427353817482401,0.7607664201245754,0.48362060428489695,0.19914913993478356,3.0,1.0,8.968785810708768,6.1472242527051515,0.5506536431206883,15.337928150847683,-0.0,1.0,0.3333333333333333,3.0,1.0,50.0,1.0,3.0,0.06,3.0,0.06,3.0,0.06,3.0,0.06,50.0,1.0,0,0,27,42,0,0,42,3,50,30,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.06,44.0,0.88,44.0,0.88,1.099820999263732,0.27342649716167905,0.6036726709274816,50.0,1.0
1,1.572199285030365,0.32954047268096603,0.07613792419433896,0.243849513646484,-5.163751602172852,-6.948400186427767,-9.017717361450195,0.821527994960085,1.5116398334503174,-0.07322166817901843,-0.8675595124562582,0.3966920940044635,1.0,0.02,0.0,5.5,0.0044,0.0,1.0,2.0,1.0687374266880805,0.39999999999999997,0.3558042694946004,1.0816653826391966,0.5806399339665358,0.25125535158615087,0.18475581511766045,50.0,1.0,14.56919372311143,3.9524215156466025,0.15902386505813082,12.043853112672549,-0.0,1.0,0.02,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,0.02,1.0,0.02,1.0,0.02,1.0,0.02,50.0,1.0,0,0,27,42,0,0,42,1,50,28,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.02,48.0,0.96,48.0,0.96,1.1804740790376627,0.38284852014843146,0.7555721037014091,50.0,1.0
2,1.3488812446594238,0.33721867714399856,0.0026801427205409567,0.23991102050139504,-5.4251354217529295,-6.940719815612616,-8.258627891540527,0.7494403678703614,0.9474103450775146,-0.06553302779813511,-0.831810188293457,0.37561943793966657,4.0,0.08,0.0,138.0,0.1104,0.0,1.0,2.0,1.0687374266880805,0.39999999999999997,0.3558042694946004,1.0816653826391966,0.5806399339665358,0.25125535158615087,0.18475581511766045,50.0,1.0,13.486543066558976,3.3189251420477506,0.13368124735048337,11.420603892477805,-0.0,1.0,0.02,50.0,1.0,0.9473684210526316,0.6956140350877192,0.5,0.1827560232385186,0.5866053858701925,0.4283398393062985,0.2886751345948129,0.11935477684009628,4.0,1.0,5.397721174184418,2.9445882819717055,0.8169996272011071,6.6554051620291785,-0.0,1.0,0.25,4.0,1.0,50.0,1.0,4.0,0.08,4.0,0.08,4.0,0.08,4.0,0.08,50.0,1.0,0,0,27,42,0,0,42,4,50,31,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.08,44.0,0.88,44.0,0.88,1.0234989851082896,0.29087694105003675,0.6349023542931133,50.0,1.0
3,0.740376325754017,0.2703501208913925,0.003217617670695283,0.1339526375011206,-5.437377548217773,-7.0075962022565275,-9.12728214263916,0.7805498424113113,0.5955383777618408,-0.13239893055586383,-1.0328326906476701,0.34100598185955533,4.0,0.08,0.0,149.0,0.1192,0.0,1.0,2.0,1.0687374266880805,0.39999999999999997,0.3558042694946004,1.0816653826391966,0.5806399339665358,0.25125535158615087,0.18475581511766045,50.0,1.0,15.368910383461596,3.313941492346455,0.16073857150302384,11.560319469260222,-0.0,1.0,0.02,50.0,1.0,2.0,1.4083333333333332,0.7,0.5247353830477055,1.0816653826391966,0.8168692044503968,0.48362060428489695,0.22976977012875335,4.0,1.0,9.402252834342278,5.4527051715257855,1.0526744966491899,16.78454549887509,-0.0,1.0,0.25,4.0,1.0,50.0,1.0,4.0,0.08,4.0,0.08,4.0,0.08,4.0,0.08,50.0,1.0,0,0,27,42,0,0,42,4,50,31,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.08,41.0,0.82,41.0,0.82,1.08050602399299,0.28349026030504904,0.7399459885854301,50.0,1.0
4,1.4885360399882002,0.3334795748486314,0.053128106253490515,0.27496392204743497,-5.349558353424072,-6.9444663303688365,-8.284541130065918,0.795592909094413,1.3550707499186199,-0.0692919721640854,-1.1206442287990026,0.4752389835139195,3.0,0.06,0.0,106.5,0.0852,0.0,1.0,2.0,1.0687374266880805,0.39999999999999997,0.3558042694946004,1.0816653826391966,0.5806399339665358,0.25125535158615087,0.18475581511766045,50.0,1.0,13.282239235737304,3.393832482693551,0.18210130441641859,12.535502049077612,-0.0,1.0,0.02,50.0,1.0,0.8571428571428572,0.7591478696741855,0.5631578947368421,0.13858584032277696,0.5661362062981246,0.4708742261134063,0.3457097560918172,0.09243943661111868,3.0,1.0,7.855891005447626,5.243015880138405,1.6598634888210606,7.543781264008906,-0.0,1.0,0.3333333333333333,3.0,1.0,50.0,1.0,3.0,0.06,3.0,0.06,3.0,0.06,3.0,0.06,50.0,1.0,0,0,27,42,0,0,42,3,50,30,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.06,44.0,0.88,44.0,0.88,1.088287146206545,0.18102688472571926,0.6833331245951453,50.0,1.0
