episode_id,final/convex_hull_e_above_hull_max,final/convex_hull_e_above_hull_mean,final/convex_hull_e_above_hull_min,final/convex_hull_e_above_hull_std,final/convex_hull_energy_per_atom_max,final/convex_hull_energy_per_atom_mean,final/convex_hull_energy_per_atom_min,final/convex_hull_energy_per_atom_std,final/convex_hull_formation_energy_per_atom_max,final/convex_hull_formation_energy_per_atom_mean,final/convex_hull_formation_energy_per_atom_min,final/convex_hull_formation_energy_per_atom_std,final/convex_hull_stable_count,final/convex_hull_stable_fraction,final/discovery_curve_acceleration_factor,final/discovery_curve_area_under_discovery_curve,final/discovery_curve_area_under_discovery_curve_normalized,final/discovery_curve_enhancement_factor,final/discovery_efficiency,final/diversity_all_composition_l1_distance_max,final/diversity_all_composition_l1_distance_mean,final/diversity_all_composition_l1_distance_min,final/diversity_all_composition_l1_distance_std,final/diversity_all_composition_l2_distance_max,final/diversity_all_composition_l2_distance_mean,final/diversity_all_composition_l2_distance_min,final/diversity_all_composition_l2_distance_std,final/diversity_all_composition_unique_composition_count,final/diversity_all_composition_unique_composition_fraction,final/diversity_all_structure_amd_distance_max,final/diversity_all_structure_amd_distance_mean,final/diversity_all_structure_amd_distance_min,final/diversity_all_structure_lattice_parameter_variance,final/diversity_all_structure_spacegroup_entropy,final/diversity_all_structure_unique_spacegroups_count,final/diversity_all_structure_unique_spacegroups_fraction,final/diversity_all_structure_unique_structure_count,final/diversity_all_structure_unique_structure_fraction,final/diversity_stable_composition_l1_distance_max,final/diversity_stable_composition_l1_distance_mean,final/diversity_stable_composition_l1_distance_min,final/diversity_stable_composition_l1_distance_std,final/diversity_stable_composition_l2_distance_max,final/diversity_stable_composition_l2_distance_mean,final/diversity_stable_composition_l2_distance_min,final/diversity_stable_composition_l2_distance_std,final/diversity_stable_composition_unique_composition_count,final/diversity_stable_composition_unique_composition_fraction,final/diversity_stable_structure_amd_distance_max,final/diversity_stable_structure_amd_distance_mean,final/diversity_stable_structure_amd_distance_min,final/diversity_stable_structure_lattice_parameter_variance,final/diversity_stable_structure_spacegroup_entropy,final/diversity_stable_structure_unique_spacegroups_count,final/diversity_stable_structure_unique_spacegroups_fraction,final/diversity_stable_structure_unique_structure_count,final/diversity_stable_structure_unique_structure_fraction,final/novelty_novel_structure_count,final/novelty_novel_structure_fraction,final/novelty_stable_count,final/novelty_stable_fraction,final/novelty_stable_novel_count,final/novelty_stable_novel_fraction,final/novelty_stable_unique_count,final/novelty_stable_unique_fraction,final/novelty_stable_unique_novel_count,final/novelty_stable_unique_novel_fraction,final/novelty_unique_structure_count,final/novelty_unique_structure_fraction,final/num_correct_stable_formulas,final/num_correct_stable_structures,final/num_ground_truth_stable_formulas,final/num_ground_truth_stable_structures,final/num_gt_formulas_missing_initial,final/num_gt_structures_missing_initial,final/num_initial_structures,final/num_newly_discovered_stable,final/num_newly_discovered_structures,final/num_observed_stable_formulas,final/precision_formula,final/precision_structure,final/queries_used,final/recall_formula,final/recall_structure,final/reference_composition_precision,final/reference_composition_recall,final/reference_structure_precision,final/reference_structure_recall,final/stable_discovery_efficiency,final/validity_distance_and_smact_valid_count,final/validity_distance_and_smact_valid_fraction,final/validity_distance_valid_count,final/validity_distance_valid_fraction,final/validity_min_interatomic_distance_mean,final/validity_min_interatomic_distance_min,final/validity_min_interatomic_distance_std,final/validity_smact_valid_count,final/validity_smact_valid_fraction
0,0.6781085786365324,0.26091449915717546,0.06699399153391461,0.11682637156829859,-5.079746500651042,-7.496115248227612,-9.951150747445913,1.1414006070597809,0.5671591985793337,0.12168791959176271,-0.11903726008900375,0.145289571430781,2.0,0.04,0.0,15.0,0.012,0.0,1.0,2.0,0.9239061935936895,0.1,0.37203439282652917,1.2697822406914936,0.5443064894024544,0.06015612074854984,0.22248681758197916,50.0,1.0,11.608575343617694,3.135047814740039,0.14648076573997448,11.607303072650451,-0.0,1.0,0.02,50.0,1.0,0.19852941176470587,0.19852941176470587,0.19852941176470587,0.0,0.1218238347483889,0.1218238347483889,0.1218238347483889,0.0,2.0,1.0,1.1255163728308348,1.1255163728308348,1.1255163728308348,5.382202638221879,-0.0,1.0,0.5,2.0,1.0,50.0,1.0,2.0,0.04,2.0,0.04,2.0,0.04,2.0,0.04,50.0,1.0,0,0,24,42,0,0,42,2,50,26,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.04,46.0,0.92,46.0,0.92,0.9310425034175848,0.29459549134049834,0.3460859955575971,50.0,1.0
1,38.68182455698649,1.7541320046400932,0.06622832860702044,7.509347043628798,31.475238037109374,-5.713063143112123,-10.613815307617188,7.543814603069341,38.56534608999888,1.6349212745382584,-0.09247920910517404,7.5001581650215305,3.0,0.06,0.0,50.5,0.0404,0.0,1.0,2.0,1.0745652086307296,0.050000000000000044,0.42301572367679957,1.2282238636759546,0.641169831274266,0.03535533905932741,0.25631773255804574,50.0,1.0,9.604345242178573,2.8037645446994466,0.11795575348281107,11.807733955549422,-0.0,1.0,0.02,50.0,1.0,1.5789473684210527,1.200067476383266,0.4423076923076923,0.5358170818302921,1.083765665402634,0.793151759844299,0.3127587686017422,0.34217440460578935,3.0,1.0,4.025149930655616,2.8116129572428403,0.634249645068059,7.332118354738384,-0.0,1.0,0.3333333333333333,3.0,1.0,50.0,1.0,3.0,0.06,3.0,0.06,3.0,0.06,3.0,0.06,50.0,1.0,0,0,24,42,0,0,42,3,50,27,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.06,38.0,0.76,38.0,0.76,0.9002613261888891,0.16234501336147397,0.47985394429387485,50.0,1.0
2,39.37735022750555,0.9809932708374219,0.025176216574276822,5.485965417576216,28.658253389246322,-6.448376631774778,-9.842595613919771,5.138134820237796,39.331689198811844,0.8459652106481763,-0.15132633845011392,5.499280738060977,10.0,0.2,0.0,276.0,0.2208,0.0,1.0,2.0,1.0052779366334053,0.06666666666666668,0.4181977815901798,1.2891050146339225,0.5955054657976491,0.04205600412537071,0.2533520656959419,50.0,1.0,9.01451881481994,2.6183362845098976,0.17075610414515774,11.405911015829952,-0.0,1.0,0.02,50.0,1.0,2.0,1.050743242538908,0.09625668449197854,0.49050583591854874,1.2891050146339225,0.6666669026732505,0.06002658909263004,0.3109340609544402,10.0,1.0,9.01451881481994,2.973481358079851,0.3277092466933098,10.486493811583701,-0.0,1.0,0.1,10.0,1.0,50.0,1.0,10.0,0.2,10.0,0.2,10.0,0.2,10.0,0.2,50.0,1.0,0,0,24,42,0,0,42,10,50,34,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.2,45.0,0.9,45.0,0.9,0.9246999905617984,0.32450285763142084,0.463764582933162,50.0,1.0
3,40.11058153223108,1.1068615453987587,0.07651750664962087,5.602400177671475,30.163423665364583,-6.451158689204574,-10.031970553927952,5.38247976502272,40.006997934977214,0.9578193294517954,-0.11015227346709237,5.61158065258474,3.0,0.06,0.0,102.5,0.082,0.0,1.0,1.8947368421052633,0.9150743678230885,0.0714285714285714,0.37200313708984023,1.1284668803292368,0.5416950109141042,0.043740888263985304,0.2222422093884875,50.0,1.0,15.679192766218193,3.0922851515720655,0.14266744132741715,11.602419380873195,-0.0,1.0,0.02,50.0,1.0,1.0,0.6820175438596491,0.3618421052631579,0.2605314843837232,0.6038872278419352,0.4106000587220459,0.20830447630246796,0.16162155788862131,3.0,1.0,3.9611038804634147,2.6417390672777743,0.9631991329369338,15.33905921061381,-0.0,1.0,0.3333333333333333,3.0,1.0,50.0,1.0,3.0,0.06,3.0,0.06,3.0,0.06,3.0,0.06,50.0,1.0,0,0,24,42,0,0,42,3,50,27,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.06,42.0,0.84,42.0,0.84,0.9243779379043502,0.21183504231058947,0.6023914707759639,50.0,1.0
4,0.42287590456943924,0.24084979908843876,0.027482244703504577,0.09823734878089645,-5.113996887207032,-7.8244947739576025,-11.192784926470589,1.296683607143714,0.3843598616750617,0.10563611390055824,-0.13655387030707425,0.13199920903245377,4.0,0.08,0.0,160.0,0.128,0.0,1.0,2.0,0.9296888662891064,0.03846153846153849,0.3958344203661745,1.2617003350583496,0.5476519941654833,0.023709284626803762,0.23631888205577026,50.0,1.0,11.123451377687497,2.5094995794034296,0.13838002423533835,12.426180291993402,-0.0,1.0,0.02,50.0,1.0,1.666666666666667,1.2495726495726496,0.15384615384615383,0.5500715524685158,1.0801234497346435,0.8174237099045513,0.10094881889758732,0.34999693725564884,4.0,1.0,1.6704062226749432,1.0549089424274554,0.4430075929048929,6.225025357604402,-0.0,1.0,0.25,4.0,1.0,50.0,1.0,4.0,0.08,4.0,0.08,4.0,0.08,4.0,0.08,50.0,1.0,0,0,24,42,0,0,42,4,50,27,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.08,42.0,0.84,42.0,0.84,1.0268342331431184,0.19535938572058129,0.49170220164269074,50.0,1.0
