episode_id,final/convex_hull_e_above_hull_max,final/convex_hull_e_above_hull_mean,final/convex_hull_e_above_hull_min,final/convex_hull_e_above_hull_std,final/convex_hull_energy_per_atom_max,final/convex_hull_energy_per_atom_mean,final/convex_hull_energy_per_atom_min,final/convex_hull_energy_per_atom_std,final/convex_hull_formation_energy_per_atom_max,final/convex_hull_formation_energy_per_atom_mean,final/convex_hull_formation_energy_per_atom_min,final/convex_hull_formation_energy_per_atom_std,final/convex_hull_stable_count,final/convex_hull_stable_fraction,final/discovery_curve_acceleration_factor,final/discovery_curve_area_under_discovery_curve,final/discovery_curve_area_under_discovery_curve_normalized,final/discovery_curve_enhancement_factor,final/discovery_efficiency,final/diversity_all_composition_l1_distance_max,final/diversity_all_composition_l1_distance_mean,final/diversity_all_composition_l1_distance_min,final/diversity_all_composition_l1_distance_std,final/diversity_all_composition_l2_distance_max,final/diversity_all_composition_l2_distance_mean,final/diversity_all_composition_l2_distance_min,final/diversity_all_composition_l2_distance_std,final/diversity_all_composition_unique_composition_count,final/diversity_all_composition_unique_composition_fraction,final/diversity_all_structure_amd_distance_max,final/diversity_all_structure_amd_distance_mean,final/diversity_all_structure_amd_distance_min,final/diversity_all_structure_lattice_parameter_variance,final/diversity_all_structure_spacegroup_entropy,final/diversity_all_structure_unique_spacegroups_count,final/diversity_all_structure_unique_spacegroups_fraction,final/diversity_all_structure_unique_structure_count,final/diversity_all_structure_unique_structure_fraction,final/diversity_stable_composition_l1_distance_max,final/diversity_stable_composition_l1_distance_mean,final/diversity_stable_composition_l1_distance_min,final/diversity_stable_composition_l1_distance_std,final/diversity_stable_composition_l2_distance_max,final/diversity_stable_composition_l2_distance_mean,final/diversity_stable_composition_l2_distance_min,final/diversity_stable_composition_l2_distance_std,final/diversity_stable_composition_unique_composition_count,final/diversity_stable_composition_unique_composition_fraction,final/diversity_stable_structure_amd_distance_max,final/diversity_stable_structure_amd_distance_mean,final/diversity_stable_structure_amd_distance_min,final/diversity_stable_structure_lattice_parameter_variance,final/diversity_stable_structure_spacegroup_entropy,final/diversity_stable_structure_unique_spacegroups_count,final/diversity_stable_structure_unique_spacegroups_fraction,final/diversity_stable_structure_unique_structure_count,final/diversity_stable_structure_unique_structure_fraction,final/novelty_novel_structure_count,final/novelty_novel_structure_fraction,final/novelty_stable_count,final/novelty_stable_fraction,final/novelty_stable_novel_count,final/novelty_stable_novel_fraction,final/novelty_stable_unique_count,final/novelty_stable_unique_fraction,final/novelty_stable_unique_novel_count,final/novelty_stable_unique_novel_fraction,final/novelty_unique_structure_count,final/novelty_unique_structure_fraction,final/num_correct_stable_formulas,final/num_correct_stable_structures,final/num_ground_truth_stable_formulas,final/num_ground_truth_stable_structures,final/num_gt_formulas_missing_initial,final/num_gt_structures_missing_initial,final/num_initial_structures,final/num_newly_discovered_stable,final/num_newly_discovered_structures,final/num_observed_stable_formulas,final/precision_formula,final/precision_structure,final/queries_used,final/recall_formula,final/recall_structure,final/reference_composition_precision,final/reference_composition_recall,final/reference_structure_precision,final/reference_structure_recall,final/stable_discovery_efficiency,final/validity_distance_and_smact_valid_count,final/validity_distance_and_smact_valid_fraction,final/validity_distance_valid_count,final/validity_distance_valid_fraction,final/validity_min_interatomic_distance_mean,final/validity_min_interatomic_distance_min,final/validity_min_interatomic_distance_std,final/validity_smact_valid_count,final/validity_smact_valid_fraction
0,0.30342807769775515,0.12923534543399307,0.0,0.0642197133775362,-2.8585102558135986,-4.4516520239119215,-6.202393001980251,0.6797648713885702,0.19986408551534016,-0.39238399399706536,-0.6668720926557269,0.1950434090549771,18.0,0.36,0.0,547.0,0.4376,0.0,1.0,1.9000000000000001,0.8778511909452075,0.009615384615384581,0.4281610141359732,1.2303515429016265,0.5441400146244018,0.006799103665255241,0.26229703964852386,50.0,1.0,2.6650344978764444,0.8341414236130769,0.11893878435105076,5.760893323276505,0.8147468773673191,6.0,0.12,50.0,1.0,1.6470588235294117,0.6371775649654603,0.019230769230769218,0.37046055710103204,1.052673172564091,0.4029064942322061,0.013598207330510521,0.23256818553716335,18.0,1.0,2.4388868050915136,0.8215654293304292,0.20825767420521846,3.514056400883225,0.6546695645285008,3.0,0.16666666666666666,18.0,1.0,50.0,1.0,18.0,0.36,18.0,0.36,18.0,0.36,18.0,0.36,50.0,1.0,0,0,25,44,0,0,44,18,50,43,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.36,50.0,1.0,50.0,1.0,2.6208055353900535,2.3167874576800815,0.15242183918329893,50.0,1.0
1,0.23278566410667167,0.11792585238458056,0.0,0.06399558606762926,-2.8917315346854076,-4.6053113121645906,-6.412183489118304,0.6907478340669158,0.1033324073342716,-0.3832121269184994,-0.6626203854878744,0.2066609058745043,23.0,0.46,0.0,606.5,0.4852,0.0,1.0,1.8823529411764706,0.8800111345658197,0.0235294117647058,0.43711137997967053,1.156902988249859,0.5443088542592351,0.016637806616154,0.26891102459192245,50.0,1.0,2.4163336116646885,0.8425269366425328,0.09483147550569981,4.071160795342755,0.6614769771805254,6.0,0.12,50.0,1.0,1.5555555555555556,0.5989331931585263,0.054298642533936625,0.35074315006249546,1.0230748255946054,0.37367969938130374,0.03839493834497089,0.21991556167513274,23.0,1.0,2.3075046201649547,0.7448476034626712,0.09483147550569981,3.3240331422783123,0.8131904766573733,5.0,0.21739130434782608,23.0,1.0,50.0,1.0,23.0,0.46,23.0,0.46,23.0,0.46,23.0,0.46,50.0,1.0,0,0,25,44,0,0,44,23,50,47,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.46,50.0,1.0,50.0,1.0,2.631309145340209,2.260601233722899,0.15126085120319677,50.0,1.0
2,0.2678104400634762,0.1310641089507636,0.0,0.07190703083861262,-3.2120755513509116,-4.7722985875190655,-6.9567341804504395,0.6838207741787964,0.11245946884155274,-0.3121124465829468,-0.6567237112257216,0.22058196091397028,20.0,0.4,0.0,546.0,0.4368,0.0,1.0,1.8571428571428574,0.8979328130852741,0.009615384615384581,0.45345799268670545,1.1887225178694127,0.5545280804624901,0.006799103665255241,0.2815175216956799,50.0,1.0,2.080641732552788,0.7986513535201358,0.08593597222306126,4.6718152346931285,0.7839820106948595,5.0,0.1,50.0,1.0,1.3333333333333333,0.5732014200924092,0.009615384615384581,0.3024507268292408,0.8451810845964534,0.35423645165735107,0.006799103665255241,0.19005364199844643,20.0,1.0,1.7394782642629991,0.6949270078305355,0.08593597222306126,1.3179627934455242,0.6874357505033553,3.0,0.15,20.0,1.0,50.0,1.0,20.0,0.4,20.0,0.4,20.0,0.4,20.0,0.4,50.0,1.0,0,0,25,44,0,0,44,20,50,45,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.4,50.0,1.0,50.0,1.0,2.632770631208717,2.3834676577769156,0.13125730721550183,50.0,1.0
3,0.24712136586507238,0.10727636891824859,0.0,0.054036200293061894,-3.244548797607422,-4.558475931070527,-7.0707221397986775,0.7897538753378619,0.161890443166097,-0.4542868858363345,-0.6746048662397597,0.2116710446760058,25.0,0.5,0.0,581.5,0.4652,0.0,1.0,1.8888888888888888,0.8170230786743077,0.0,0.4206126846098374,1.2154166587310657,0.5039063239264258,0.0,0.24732032665739578,49.0,0.98,2.018809369484071,0.817189144282119,0.09084536666507859,3.3762695198654096,0.772249763671189,6.0,0.12,50.0,1.0,1.2,0.544036423615371,0.0222222222222222,0.2623320110656203,0.7413405417327236,0.3428381531664957,0.015713484026367706,0.160211289621896,25.0,1.0,1.5872588301591426,0.6486654613780278,0.09084536666507859,2.262160020798126,0.6060252027357298,4.0,0.16,25.0,1.0,50.0,1.0,25.0,0.5,25.0,0.5,25.0,0.5,25.0,0.5,50.0,1.0,0,0,25,44,0,0,44,25,50,47,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,1.0,50.0,1.0,2.6495636353669276,2.3413697773608253,0.15081821539940746,50.0,1.0
4,0.20510837009974914,0.10187124957757412,0.0,0.04890012227069643,-2.776715850830078,-4.3852914495010005,-6.338305155436198,0.7295388628710473,0.07509698867797851,-0.4579897415360542,-0.6879369932062486,0.18843459346422142,25.0,0.5,0.0,693.5,0.5548,0.0,1.0,1.8571428571428572,0.822234099577753,0.0,0.41360220104546547,1.108552609887726,0.5148324639834245,0.0,0.253601016438515,49.0,0.98,2.6572400584985783,0.803785711735123,0.12450066564628415,2.851931240987833,0.7519571001155733,5.0,0.1,50.0,1.0,1.7,0.7250408310872707,0.009803921568627472,0.39816197657574665,1.0834615308763338,0.46203508395186077,0.00693241942339754,0.25013248604083954,25.0,1.0,2.6572400584985783,0.9163512964405961,0.14524306634210227,2.656974175714757,0.6904565313848348,4.0,0.16,25.0,1.0,50.0,1.0,25.0,0.5,25.0,0.5,25.0,0.5,25.0,0.5,50.0,1.0,0,0,25,44,0,0,44,25,50,47,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,1.0,50.0,1.0,2.6746207820942174,2.436941491953427,0.1198175458361848,50.0,1.0
